lon,lat,faa_mGal,depth,KoreksigB,DeltaGB_mGal
118.0417,-2.0417,-36.7917,-2125.9,-146.2018104619266,109.41011046192662
118.125,-2.0417,-35.6122,-2181.94,-150.05577793842426,114.44357793842426
118.2083,-2.0417,-39.8259,-2232.04,-153.5012413676272,113.6753413676272
118.2917,-2.0417,-34.8438,-2232.43,-153.52806234042936,118.68426234042936
118.375,-2.0417,-29.0462,-2222.18,-152.823152157808,123.77695215780801
118.4583,-2.0417,-21.2243,-2188.99,-150.54061860061748,129.31631860061748
118.5417,-2.0417,-3.9967,-1881.21,-129.37405703893924,125.37735703893924
118.625,-2.0417,1.3711,-1763.41,-121.27274781817866,122.64384781817866
118.7083,-2.0417,-1.0543,-1738.56,-119.56377044860393,118.50947044860393
118.7917,-2.0417,-8.0576,-1705.19,-117.26885798088934,109.21125798088934
118.875,-2.0417,-13.8564,-1596.21,-109.77411537580878,95.91771537580877
118.9583,-2.0417,-26.8595,-1539.0,-105.83968498090458,78.98018498090458
119.0417,-2.0417,-28.0612,-1343.51,-92.39550043449975,64.33430043449975
119.125,-2.0417,2.4249,-803.47,-55.25601799324718,57.68091799324718
119.2083,-2.0417,23.5997,-98.49,-6.77332720842709,30.37302720842709
121.5417,-2.0417,8.7335,-10.46,-0.7193522448994555,9.452852244899455
121.625,-2.0417,8.1383,-32.64,-2.2447091083669433,10.383009108366942
121.7083,-2.0417,17.3133,-37.92,-2.6078238170733608,19.92112381707336
121.7917,-2.0417,18.0901,-41.55,-2.857465179309022,20.947565179309024
121.875,-2.0417,-3.1222,-370.74,-25.49642937610173,22.37422937610173
121.9583,-2.0417,-18.8901,-703.83,-48.40360330091623,29.51350330091623
122.0417,-2.0417,-27.0392,-833.12,-57.295099643464084,30.255899643464083
122.125,-2.0417,-39.1826,-1019.06,-70.08251421484121,30.89991421484121
122.2083,-2.0417,-38.1824,-1136.78,-78.1783216975911,39.9959216975911
122.2917,-2.0417,-18.0989,-1020.6,-70.18842267154724,52.08952267154724
122.375,-2.0417,15.0735,-767.93,-52.811870881992235,67.88537088199223
