longitude    latitude     depth_km        density_kgm3   
118.00000    -11.00000    0.000           1036.66        
118.00000    -11.00000    1.326           1036.66        
118.00000    -11.00000    2.651           1036.66        
118.00000    -11.00000    3.977           1036.66        
118.08333    -11.00000    0.000           1036.66        
118.08333    -11.00000    1.326           1036.66        
118.08333    -11.00000    2.651           1036.66        
118.08333    -11.00000    3.977           1036.66        
118.16667    -11.00000    0.000           1036.66        
118.16667    -11.00000    1.300           1036.66        
118.16667    -11.00000    2.600           1036.66        
118.16667    -11.00000    3.900           1036.66        
118.25000    -11.00000    0.000           1036.66        
118.25000    -11.00000    1.300           1036.66        
118.25000    -11.00000    2.600           1036.66        
118.25000    -11.00000    3.900           1036.66        
118.33333    -11.00000    0.000           1036.42        
118.33333    -11.00000    1.285           1036.42        
118.33333    -11.00000    2.570           1036.42        
118.33333    -11.00000    3.855           1036.42        
118.41667    -11.00000    0.000           1036.66        
118.41667    -11.00000    1.328           1036.66        
118.41667    -11.00000    2.655           1036.66        
118.41667    -11.00000    3.983           1036.66        
118.50000    -11.00000    0.000           1036.66        
118.50000    -11.00000    1.328           1036.66        
118.50000    -11.00000    2.655           1036.66        
118.50000    -11.00000    3.983           1036.66        
118.58333    -11.00000    0.000           1036.18        
118.58333    -11.00000    1.238           1036.18        
118.58333    -11.00000    2.475           1036.18        
118.58333    -11.00000    3.713           1036.18        
118.66667    -11.00000    0.000           1036.66        
118.66667    -11.00000    1.305           1036.66        
118.66667    -11.00000    2.609           1036.66        
118.66667    -11.00000    3.914           1036.66        
118.75000    -11.00000    0.000           1036.66        
118.75000    -11.00000    1.305           1036.66        
118.75000    -11.00000    2.609           1036.66        
118.75000    -11.00000    3.914           1036.66        
118.83333    -11.00000    0.000           1037.14        
118.83333    -11.00000    1.048           1037.14        
118.83333    -11.00000    2.097           1037.14        
118.83333    -11.00000    3.145           1037.14        
118.83333    -11.00000    4.194           1037.14        
118.91667    -11.00000    0.000           1038.33        
118.91667    -11.00000    1.157           1038.33        
118.91667    -11.00000    2.313           1038.33        
118.91667    -11.00000    3.470           1038.33        
118.91667    -11.00000    4.626           1038.33        
119.00000    -11.00000    0.000           1038.33        
119.00000    -11.00000    1.157           1038.33        
119.00000    -11.00000    2.313           1038.33        
119.00000    -11.00000    3.470           1038.33        
119.00000    -11.00000    4.626           1038.33        
119.08333    -11.00000    0.000           1038.56        
119.08333    -11.00000    1.186           1038.56        
119.08333    -11.00000    2.371           1038.56        
119.08333    -11.00000    3.557           1038.56        
119.08333    -11.00000    4.742           1038.56        
119.16667    -11.00000    0.000           1037.62        
119.16667    -11.00000    1.099           1037.62        
119.16667    -11.00000    2.199           1037.62        
119.16667    -11.00000    3.298           1037.62        
119.16667    -11.00000    4.398           1037.62        
119.25000    -11.00000    0.000           1037.62        
119.25000    -11.00000    1.099           1037.62        
119.25000    -11.00000    2.199           1037.62        
119.25000    -11.00000    3.298           1037.62        
119.25000    -11.00000    4.398           1037.62        
119.33333    -11.00000    0.000           1037.85        
119.33333    -11.00000    1.104           1037.85        
119.33333    -11.00000    2.208           1037.85        
119.33333    -11.00000    3.312           1037.85        
119.33333    -11.00000    4.417           1037.85        
119.41667    -11.00000    0.000           1037.14        
119.41667    -11.00000    1.026           1037.14        
119.41667    -11.00000    2.052           1037.14        
119.41667    -11.00000    3.078           1037.14        
119.41667    -11.00000    4.104           1037.14        
119.50000    -11.00000    0.000           1037.14        
119.50000    -11.00000    1.026           1037.14        
119.50000    -11.00000    2.052           1037.14        
119.50000    -11.00000    3.078           1037.14        
119.50000    -11.00000    4.104           1037.14        
119.58333    -11.00000    0.000           1035.94        
119.58333    -11.00000    1.212           1035.94        
119.58333    -11.00000    2.424           1035.94        
119.58333    -11.00000    3.636           1035.94        
119.66667    -11.00000    0.000           1033.44        
119.66667    -11.00000    1.315           1033.44        
119.66667    -11.00000    2.630           1033.44        
119.75000    -11.00000    0.000           1033.44        
119.75000    -11.00000    1.315           1033.44        
119.75000    -11.00000    2.630           1033.44        
119.83333    -11.00000    0.000           1032.41        
119.83333    -11.00000    1.149           1032.41        
119.83333    -11.00000    2.299           1032.41        
119.91667    -11.00000    0.000           1031.88        
119.91667    -11.00000    1.038           1031.88        
119.91667    -11.00000    2.076           1031.88        
120.00000    -11.00000    0.000           1031.88        
120.00000    -11.00000    1.038           1031.88        
120.00000    -11.00000    2.076           1031.88        
120.08333    -11.00000    0.000           1031.34        
120.08333    -11.00000    1.837           1031.34        
120.16667    -11.00000    0.000           1029.94        
120.16667    -11.00000    1.392           1029.94        
120.25000    -11.00000    0.000           1029.94        
120.25000    -11.00000    1.392           1029.94        
120.33333    -11.00000    0.000           1029.94        
120.33333    -11.00000    1.383           1029.94        
120.41667    -11.00000    0.000           1030.50        
120.41667    -11.00000    1.532           1030.50        
120.50000    -11.00000    0.000           1030.50        
120.50000    -11.00000    1.532           1030.50        
120.58333    -11.00000    0.000           1030.51        
120.58333    -11.00000    1.563           1030.51        
120.66667    -11.00000    0.000           1029.93        
120.66667    -11.00000    1.348           1029.93        
120.75000    -11.00000    0.000           1029.93        
120.75000    -11.00000    1.348           1029.93        
120.83333    -11.00000    0.000           1029.33        
120.83333    -11.00000    1.147           1029.33        
120.91667    -11.00000    0.000           1029.03        
120.91667    -11.00000    1.076           1029.03        
121.00000    -11.00000    0.000           1029.03        
121.00000    -11.00000    1.076           1029.03        
121.08333    -11.00000    0.000           1028.72        
121.08333    -11.00000    0.999           1028.72        
121.16667    -11.00000    0.000           1029.32        
121.16667    -11.00000    1.100           1029.32        
121.25000    -11.00000    0.000           1029.32        
121.25000    -11.00000    1.100           1029.32        
121.33333    -11.00000    0.000           1029.64        
121.33333    -11.00000    1.287           1029.64        
121.41667    -11.00000    0.000           1029.93        
121.41667    -11.00000    1.336           1029.93        
121.50000    -11.00000    0.000           1029.93        
121.50000    -11.00000    1.336           1029.93        
121.58333    -11.00000    0.000           1029.93        
121.58333    -11.00000    1.325           1029.93        
121.66667    -11.00000    0.000           1029.64        
121.66667    -11.00000    1.291           1029.64        
121.75000    -11.00000    0.000           1029.64        
121.75000    -11.00000    1.291           1029.64        
121.83333    -11.00000    0.000           1030.50        
121.83333    -11.00000    1.539           1030.50        
121.91667    -11.00000    0.000           1029.63        
121.91667    -11.00000    1.215           1029.63        
122.00000    -11.00000    0.000           1029.63        
122.00000    -11.00000    1.215           1029.63        
122.08333    -11.00000    0.000           1029.64        
