longitude	latitude	depth
118.04167	-2.04167	2125.89478
118.12500	-2.04167	2181.93774
118.20833	-2.04167	2232.03882
118.29167	-2.04167	2232.42847
118.37500	-2.04167	2222.18286
118.45833	-2.04167	2188.99219
118.54167	-2.04167	1881.20630
118.62500	-2.04167	1763.40918
118.70833	-2.04167	1738.56165
118.79167	-2.04167	1705.18933
118.87500	-2.04167	1596.20837
118.95833	-2.04167	1539.00195
119.04167	-2.04167	1343.51453
119.12500	-2.04167	803.46552
119.20833	-2.04167	98.48845
119.29167	-2.04167	0.00000
119.37500	-2.04167	0.00000
119.45833	-2.04167	0.00000
119.54167	-2.04167	0.00000
119.62500	-2.04167	0.00000
119.70833	-2.04167	0.00000
119.79167	-2.04167	0.00000
119.87500	-2.04167	0.00000
119.95833	-2.04167	0.00000
120.04167	-2.04167	0.00000
120.12500	-2.04167	0.00000
120.20833	-2.04167	0.00000
120.29167	-2.04167	0.00000
120.37500	-2.04167	0.00000
120.45833	-2.04167	0.00000
120.54167	-2.04167	0.00000
120.62500	-2.04167	0.00000
120.70833	-2.04167	0.00000
120.79167	-2.04167	0.00000
120.87500	-2.04167	0.00000
120.95833	-2.04167	0.00000
121.04167	-2.04167	0.00000
121.12500	-2.04167	0.00000
121.20833	-2.04167	0.00000
121.29167	-2.04167	0.00000
121.37500	-2.04167	0.00000
121.45833	-2.04167	0.00000
121.54167	-2.04167	10.46114
121.62500	-2.04167	32.63858
121.70833	-2.04167	37.91516
121.79167	-2.04167	41.54663
121.87500	-2.04167	370.74231
121.95833	-2.04167	703.83063
122.04167	-2.04167	833.11664
122.12500	-2.04167	1019.05786
122.20833	-2.04167	1136.78003
122.29167	-2.04167	1020.60059
122.37500	-2.04167	767.92896
122.45833	-2.04167	720.51477
122.54167	-2.04167	970.86273
122.62500	-2.04167	927.12903
122.70833	-2.04167	934.27338
122.79167	-2.04167	821.00043
122.87500	-2.04167	477.89383
122.95833	-2.04167	497.92557
123.04167	-2.04167	114.02251
123.12500	-2.04167	397.63611
123.20833	-2.04167	145.94194
123.29167	-2.04167	29.29599
123.37500	-2.04167	176.75656
123.45833	-2.04167	137.88342
123.54167	-2.04167	26.93766
123.62500	-2.04167	9.49088
123.70833	-2.04167	60.57614
123.79167	-2.04167	3.58732
123.87500	-2.04167	0.00000
123.95833	-2.04167	116.27011
124.04167	-2.04167	405.98825
124.12500	-2.04167	345.07660
124.20833	-2.04167	266.20071
124.29167	-2.04167	128.69766
124.37500	-2.04167	0.18955
124.45833	-2.04167	8.51145
124.54167	-2.04167	146.54091
124.62500	-2.04167	379.80551
124.70833	-2.04167	568.74500
124.79167	-2.04167	893.08746
124.87500	-2.04167	1052.51477
124.95833	-2.04167	1070.86902
125.04167	-2.04167	1015.30487
125.12500	-2.04167	1098.70996
125.20833	-2.04167	1359.99878
125.29167	-2.04167	1317.25549
125.37500	-2.04167	723.00226
125.45833	-2.04167	416.64859
125.54167	-2.04167	468.87839
125.62500	-2.04167	1091.62524
125.70833	-2.04167	772.71515
125.79167	-2.04167	350.75436
125.87500	-2.04167	0.00000
125.95833	-2.04167	0.00000
126.04167	-2.04167	636.25208
126.12500	-2.04167	1758.40918
126.20833	-2.04167	1802.14575
126.29167	-2.04167	1769.62500
126.37500	-2.04167	1757.21423
126.45833	-2.04167	1692.48352
126.54167	-2.04167	1673.21509
126.62500	-2.04167	1853.85596
126.70833	-2.04167	2046.00049
126.79167	-2.04167	2042.99585
126.87500	-2.04167	1778.64929
126.95833	-2.04167	1817.04260
127.04167	-2.04167	1668.31665
127.12500	-2.04167	1804.72107
